code;emission
SFA;Софарма АД-София
ATER;Адванс Терафонд АДСИЦ-София
DUH;Доверие Обединен Холдинг АД-София
CHIM;Химимпорт АД-София
BREF;Фонд за недвижими имоти България АДСИЦ-София
FIB;ТБ Първа Инвестиционна Банка АД-София
EUBG;Еврохолд България АД-София
EAC;Елана Агрокредит АД-София
HVAR;Холдинг Варна АД-Варна
MONB;Монбат АД-София
CCB;ТБ Централна кооперативна банка АД-София
SGH;Сирма Груп Холдинг АД-София
GR6;Градус АД-Стара Загора
T57;Трейс груп холд АД-София
SPH;Стара планина Холд АД-София
