SFA, Софарма АД-София, 156588249, 156810, 1473, 0.03468140
ATER, Адванс Терафонд АДСИЦ-София, 102428973, 73828, 1414, 0.02661639
DUH, Доверие Обединен Холдинг АД-София, 55730526, 122448, 2121, 0.04471241
A4L, Алтерко АД-София, 59270757, 83768, 2066, 0.05660215
CHIM, Химимпорт АД-София, 51731241, 53054, 1823, 0.04930310
BREF, Фонд за недвижими имоти България АДСИЦ-София, 49426059, 68873, 1174, 0.03733564
EUBG, Еврохолд България АД-София, 150423645, 99419, 659, 0.12779839
FIB, ТБ Първа Инвестиционна Банка АД-София, 29541600, 51497, 1366, 0.06176108
ALB, Албена АД-к.к. Албена, 35810505, 65055, 698, 0.06532287
EAC, Елана Агрокредит АД-София, 27765300, 27711, 548, 0.03269636
HVAR, Холдинг Варна АД-Варна, 78542137, 15416, 263, 0.05419893
TBS, Телелинк Бизнес Сървисис Груп АД-София, 36687000, 25854, 986, 0.07241129
GR6, Градус АД-Стара Загора, 65664728, 20286, 418, 0.07883005
CCB, ТБ Централна кооперативна банка АД-София, 22450644, 31024, 1408, 0.08548077
SGH, Сирма Груп Холдинг АД-София, 17081939, 41926, 878, 0.06837236
