,emission_bse_code_new,market_capitalization,rank
0,SFA,163435072.5,0.25
1,EUBG,157804564.48,0.5
2,ATER,140131852.79999998,0.75
3,A4L,108459054.8,1.0
4,SPH,87225236.7,1.25
5,DUH,87168407.03999999,1.5
6,HVAR,79283565.60000001,1.75
7,MSH,66673386.15,2.0
8,GR6,64368558.449999996,2.25
9,BREF,61060722.660000004,2.5
10,HRZ,60377744.0,2.75
11,CHIM,50851497.41,3.0
12,IHB,45280177.8,3.25
13,ALB,43735062.6,3.5
14,HSI,42985696.0,3.75
15,SFT,42191572.800000004,4.0
16,MONB,41411704.4,4.25
17,TXIM,33410370.0,4.5
18,HNVK,33270180.8,4.75
19,TBS,32429241.0,5.0
20,FIB,29535000.0,5.25
21,EAC,28413016.92,5.5
22,HIKA,26047034.4,5.75
23,CCB,23087400.09,6.0
24,HSOF,22934156.64,6.25
25,HES,21123326.5,6.5
26,T57,19878547.7,6.75
27,KBG,19745804.400000002,7.0
28,SKEH,18886425.599999998,7.25
29,NEOH,17616228.0,7.5
30,EMKA,17146041.5,7.75
31,SGH,16030230.750000002,8.0
32,ALCM,15544410.0,8.25
33,HCEN,14986166.399999999,8.5
34,ODES,12043614.0,8.75
35,GAMZ,11767230.100000001,9.0
