deal_id,deal_date,deal_time,deal_bse_code_new,deal_price,deal_count
1,2021-07-19,17:00:23,SGH,0.494,7500
2,2021-07-19,17:00:21,TBS,13.6,37
3,2021-07-19,17:00:21,TBS,13.6,500
4,2021-07-19,17:00:21,TBS,13.6,46
5,2021-07-19,17:00:21,TBS,13.6,65
6,2021-07-19,17:00:21,TBS,13.6,200
7,2021-07-19,17:00:12,DUH,7.4,300
8,2021-07-19,17:00:03,CCB,1,400
9,2021-07-19,16:53:45,TBS,13.7,30
10,2021-07-19,16:53:02,DUH,7.46,186
11,2021-07-19,16:51:13,DUH,7.46,12
12,2021-07-19,16:50:16,ALB,33.8,20
13,2021-07-19,16:47:41,TBS,13.7,29
14,2021-07-19,16:47:41,TBS,13.7,21
15,2021-07-19,16:47:41,TBS,13.7,100
16,2021-07-19,16:42:04,T57,3.82,13
17,2021-07-19,16:42:04,T57,3.72,950
18,2021-07-19,16:41:46,SGH,0.49,5800
19,2021-07-19,16:41:46,SGH,0.492,2500
20,2021-07-19,16:41:46,SGH,0.494,200
21,2021-07-19,16:34:51,SFT,5.1,41
22,2021-07-19,16:14:42,CCB,1,350
23,2021-07-19,16:14:00,IHB,1.27,6300
24,2021-07-19,16:14:00,IHB,1.27,1700
25,2021-07-19,16:14:00,IHB,1.28,1000
26,2021-07-19,15:50:58,HVAR,40.2,11
27,2021-07-19,15:37:47,IDH,2.24,50
28,2021-07-19,15:37:47,IDH,2.34,25
29,2021-07-19,15:29:47,CCB,1,420
30,2021-07-19,15:28:34,SFA,3.48,1
31,2021-07-19,15:21:01,DUH,7.4,500
32,2021-07-19,15:20:23,DUH,7.5,95
33,2021-07-19,15:19:39,DUH,7.5,95
34,2021-07-19,15:17:26,A4L,17.4,50
35,2021-07-19,15:17:06,DUH,7.48,1369
36,2021-07-19,15:17:06,DUH,7.48,700
37,2021-07-19,15:17:06,DUH,7.48,200
38,2021-07-19,15:17:06,DUH,7.48,30
39,2021-07-19,15:17:06,DUH,7.46,400
40,2021-07-19,15:17:06,DUH,7.46,50
41,2021-07-19,15:16:30,A4L,17.5,100
42,2021-07-19,15:16:30,A4L,17.5,200
43,2021-07-19,15:16:30,A4L,17.5,200
44,2021-07-19,15:09:42,CCB,1,400
45,2021-07-19,15:05:14,DUH,7.46,90
46,2021-07-19,15:03:37,CHIM,0.848,780
47,2021-07-19,15:00:30,DUH,7.46,110
48,2021-07-19,15:00:16,SPH,7.25,101
49,2021-07-19,14:59:47,DUH,7.44,191
50,2021-07-19,14:59:47,DUH,7.44,109
51,2021-07-19,14:58:02,ATER,2.48,500
52,2021-07-19,14:57:27,EUBG,2.5,1000
53,2021-07-19,14:54:17,HVAR,40.2,10
54,2021-07-19,14:53:24,DUH,7.4,500
55,2021-07-19,14:53:24,DUH,7.4,500
56,2021-07-19,14:45:51,TBS,13.8,150
57,2021-07-19,14:45:51,TBS,13.8,20
58,2021-07-19,14:39:12,ATER,2.48,1000
59,2021-07-19,14:34:42,CCB,1,380
60,2021-07-19,14:31:47,ATER,2.49,200
61,2021-07-19,14:28:14,A4L,17.5,100
62,2021-07-19,14:05:33,SFA,3.46,55
63,2021-07-19,14:05:33,SFA,3.48,45
64,2021-07-19,14:05:33,SFA,3.48,200
65,2021-07-19,13:39:43,CHIM,0.846,5000
66,2021-07-19,13:37:48,CCB,1,400
67,2021-07-19,13:36:01,DUH,7.44,95
68,2021-07-19,13:34:15,DUH,7.44,96
69,2021-07-19,13:33:08,DUH,7.44,100
70,2021-07-19,13:33:08,DUH,7.44,390
71,2021-07-19,13:31:40,CHIM,0.844,2135
72,2021-07-19,13:31:40,CHIM,0.844,3000
73,2021-07-19,13:31:40,CHIM,0.844,1187
74,2021-07-19,13:31:40,CHIM,0.844,742
75,2021-07-19,13:31:40,CHIM,0.844,742
76,2021-07-19,13:31:40,CHIM,0.846,845
77,2021-07-19,13:31:40,CHIM,0.85,1970
78,2021-07-19,13:31:40,CHIM,0.852,1175
79,2021-07-19,13:31:40,CHIM,0.852,350
80,2021-07-19,13:21:34,DUH,7.44,70
81,2021-07-19,13:20:41,CHIM,0.852,650
82,2021-07-19,13:05:49,ATER,2.49,98
83,2021-07-19,13:05:38,HVAR,40.2,12
84,2021-07-19,12:53:08,CCB,1,94
85,2021-07-19,12:53:08,CCB,0.995,606
86,2021-07-19,12:29:41,BREF,2.15,450
87,2021-07-19,12:25:42,DUH,7.42,160
88,2021-07-19,12:22:47,CCB,0.995,360
89,2021-07-19,12:19:30,DUH,7.42,149
90,2021-07-19,12:17:16,NEOH,24,30
91,2021-07-19,12:16:23,EUBG,2.58,10000
92,2021-07-19,12:09:33,DUH,7.42,131
93,2021-07-19,12:08:03,DUH,7.42,469
94,2021-07-19,11:47:52,DUH,7.44,40
95,2021-07-19,11:47:52,DUH,7.4,300
96,2021-07-19,11:47:52,DUH,7.38,50
97,2021-07-19,11:43:35,MONB,6,35
98,2021-07-19,11:40:26,EMKA,3.26,600
99,2021-07-19,11:39:44,NEOH,23.6,2
100,2021-07-19,11:34:03,BREF,2.15,545
101,2021-07-19,11:34:03,BREF,2.15,355
102,2021-07-19,11:32:00,CCB,0.995,34
103,2021-07-19,11:32:00,CCB,0.995,346
104,2021-07-19,11:31:33,HVAR,40.2,10
105,2021-07-19,11:31:19,CCB,0.995,500
106,2021-07-19,11:14:17,EMKA,3.38,190
107,2021-07-19,10:57:11,EMKA,3.38,300
108,2021-07-19,10:38:38,CCB,0.995,375
109,2021-07-19,10:33:01,BREF,2.2,100
110,2021-07-19,10:30:25,A4L,17.7,73
111,2021-07-19,10:20:32,DUH,7.32,180
112,2021-07-19,10:17:07,GR6,1.48,50
113,2021-07-19,10:17:07,GR6,1.46,100
114,2021-07-19,10:16:24,EMKA,3.38,200
115,2021-07-19,10:14:06,HVAR,40.2,10
116,2021-07-19,10:12:54,SPH,7.3,5
117,2021-07-19,10:12:06,DUH,7.48,20
118,2021-07-19,10:12:06,DUH,7.4,200
119,2021-07-19,10:10:40,DUH,7.44,250
120,2021-07-19,10:10:29,DUH,7.42,450
121,2021-07-19,10:10:26,DUH,7.4,80
122,2021-07-19,10:10:26,DUH,7.4,20
123,2021-07-19,10:10:26,DUH,7.4,65
124,2021-07-19,10:10:26,DUH,7.4,304
125,2021-07-19,10:10:26,DUH,7.4,500
126,2021-07-19,10:10:26,DUH,7.4,131
127,2021-07-19,10:10:26,DUH,7.4,667
128,2021-07-19,10:10:26,DUH,7.4,903
129,2021-07-19,10:10:26,DUH,7.4,930
130,2021-07-19,10:10:26,DUH,7.4,200
131,2021-07-19,10:10:02,SFA,3.46,100
132,2021-07-19,10:10:00,CCB,1,400
