1,Алтерко АД-София,BG1100003166,A4L,A4L,A4L
2,Албена АД-к.к. Албена,BG11ALBAAT17,6AB,ALB,ALB
3,Алкомет АД-Шумен,BG11ALSUAT14,6AM,ALCM,ALUM
4,Адванс Терафонд АДСИЦ-София,BG1100025052,6A6,ATER,ATERA
5,Фонд за недвижими имоти България АДСИЦ-София,BG1100001053,5BU,BREF,BREF
6,ТБ Централна кооперативна банка АД-София,BG1100014973,4CF,CCB,CCB
7,Химимпорт АД-София,BG1100046066,6C4,CHIM,CHIM
8,Доверие Обединен Холдинг АД-София,BG1100038980,5DOV,DUH,DOVUHL
9,Елана Агрокредит АД-София,BG1100040101,0EA,EAC,0EA
10,Елхим Искра АД-Пазарджик,BG11ELPABT16,52E,ELHM,ELHIM
11,ЕМКА АД-Севлиево,BG11EMSEAT19,57E,EMKA,EMKA
12,Еврохолд България АД-София,BG1100114062,4EH,EUBG,EUBG
13,ТБ Първа Инвестиционна Банка АД-София,BG1100106050,5F4,FIB,FIB
14,Фазерлес АД-Силистра,BG11FASIAT18,4F6,FZLS,FZLES
15,Северкооп Гъмза Холдинг АД-София,BG1100026985,6S4,GAMZ,GAMZA
16,Градус АД-Стара Загора,BG1100002184,GR6,GR6,GR6
17,Холдинг Център АД-София,BG1100080982,6C8,HCEN,HCEN
18,Хидравлични елементи и системи АД-Ямбол,BG11HIYMAT14,4HE,HES,HES
19,Индустриален Капитал Холдинг АД-София,BG1100010989,4I8,HIKA,HIKA
20,Холдинг Нов Век АД-София,BG1100058988,6N3,HNVK,HNVEK
21,Родна Земя Холдинг АД-София,BG1100051983,6R2,HRZ,HRZ
22,Сила Холдинг АД-София,BG1100027983,6S5,HSI,HSI
23,Холдинг Света София АД-София,BG1100008983,4HS,HSOF,HSOF
24,Холдинг Варна АД-Варна,BG1100036984,5V2,HVAR,HVAR
25,Индъстри Дивелъпмънт Холдинг АД-София,BG1100043980,6R1,IDH,RAZHL
26,Индустриален Холдинг България АД-София,BG1100019980,4ID,IHB,IHLBL
27,Корадо-България АД-Стражица,BG11LUSTAT13,4KX,KBG,LACH
28,Лавена АД-Шумен,BG11LASUAT14,4L4,LAV,LAVEN
29,Монбат АД-София,BG1100075065,5MB,MONB,MONBAT
30,М+С хидравлик АД-Казанлък,BG11MPKAAT18,5MH,MSH,MCH
31,Неохим АД-Димитровград,BG11NEDIAT11,3NB,NEOH,NEOH
32,Кораборемонтен завод Одесос АД-Варна,BG11KOVABT17,5ODE,ODES,ODES
33,Петрол АД-София,BG11PESOBT13,5PET,PET,PET
34,Софарма АД-София,BG11SOSOBT18,3JR,SFA,SFARM
35,Софарма трейдинг АД-София,BG1100086070,SO5,SFT,SFTRD
36,Сирма Груп Холдинг АД-София,BG1100032140,SKK,SGH,SKK
37,Св. Св. Константин и Елена Холдинг АД-Варна,BG11SVVAAT11,3NJ,SKEH,SKELN
38,Синергон Холдинг АД-София,BG1100033981,6S7,SNRG,PETHL
39,Стара планина Холд АД-София,BG1100005971,5SR,SPH,CENHL
40,Трейс груп холд АД-София,BG1100049078,T57,T57,TRACE
41,Телелинк Бизнес Сървисис Груп АД-София,BG1100017190,TBS,TBS,TBS
42,Топливо АД-София,BG11TOSOAT18,3TV,TOPL,TOPL
43,ТБ Тексим Банк АД-София,BG1100001921,5CP,TXIM,5CP
44,Юрий Гагарин АД-Пловдив,BG11PLPLVT16,4PX,YGAG,GAGBT
45,Зърнени Храни България АД-София,BG1100109070,T43,ZHBG,ZHBG
46,Златни пясъци АД-Варна,BG11ZLVAAT14,3ZL,ZLP,ZLP
