free_float_id,free_float_date,free_float_isin,emission_shares_count,free_float_shares_count,shareholders_count
1,2021-07-16,BG1100003166,17999999,6305759,1014
2,2021-07-16,BG11ALBAAT17,4273126,1278803,77469
3,2021-07-16,BG11ALSUAT14,17952959,1776504,2583
4,2021-07-16,BG1100025052,85110091,52483840,1881
5,2021-07-16,BG1100001053,34641925,25764018,1000
6,2021-07-16,BG1100014973,127129970,21181101,6230
7,2021-07-16,BG1100046066,239646267,53080895,3414
8,2021-07-16,BG1100038980,18736099,12417152,146905
9,2021-07-16,BG1100040101,36629925,26308349,823
10,2021-07-16,BG11ELPABT16,25108410,6618810,1627
11,2021-07-16,BG11EMSEAT19,21699726,4898869,1413
12,2021-07-16,BG1100114062,260500000,52505412,9418
13,2021-07-16,BG1100106050,149084800,16500000,2085
14,2021-07-16,BG11FASIAT18,515000,213250,820
15,2021-07-16,BG1100026985,5347798,3055713,69757
16,2021-07-16,BG1100002184,243608710,43788135,1102
17,2021-07-16,BG1100080982,735910,438192,2516
18,2021-07-16,BG11HIYMAT14,18193752,3673622,1016
19,2021-07-16,BG1100010989,15864544,8981736,26185
20,2021-07-16,BG1100058988,5610437,1807872,13177
21,2021-07-16,BG1100051983,56010597,21599000,4290
22,2021-07-16,BG1100027983,36852997,16532960,1389
23,2021-07-16,BG1100008983,9940391,6666906,37515
24,2021-07-16,BG1100036984,6485897,1982101,13507
25,2021-07-16,BG1100043980,9980925,3392342,30564
26,2021-07-16,BG1100019980,107400643,29025755,53923
27,2021-07-16,BG11LUSTAT13,13168614,2350691,772
28,2021-07-16,BG11LASUAT14,9919410,1211957,1027
29,2021-07-16,BG1100075065,39000000,6788804,1657
30,2021-07-16,BG11MPKAAT18,39445200,9071209,1302
31,2021-07-16,BG11NEDIAT11,2654358,629151,3008
32,2021-07-16,BG11KOVABT17,586642,113619,775
33,2021-07-16,BG11PESOBT13,27312403,2438860,2891
34,2021-07-16,BG11SOSOBT18,134797899,46695735,6679
35,2021-07-16,BG1100086070,34276050,8113764,25613
36,2021-07-16,BG1100032140,59360518,31431825,1036
37,2021-07-16,BG11SVVAAT11,2309561,843144,791
38,2021-07-16,BG1100033981,18358849,7915991,156440
39,2021-07-16,BG1100005971,21000000,12372374,22067
40,2021-07-16,BG1100049078,24200000,5745245,1465
41,2021-07-16,BG1100017190,12500000,2405223,1046
42,2021-07-16,BG11TOSOAT18,5416829,512539,2689
43,2021-07-16,BG1100001921,27995036,11136790,3975
44,2021-07-16,BG11PLPLVT16,1003904,203739,956
45,2021-07-16,BG1100109070,195660287,39151614,1653
46,2021-07-16,BG11ZLVAAT14,6493577,481434,6235
